steam_appid,pc_requirements,mac_requirements,linux_requirements,minimum,recommended
4000,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows® XP/Vista<br></li><li><strong>Processor:</strong> 2 GHz Processor or better<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> 512MB dedicated VRAM or better<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 5 GB available space<br></li><li><strong>Sound Card:</strong> DirectX® 9 compatible<br></li><li><strong>Additional Notes:</strong> Mouse, Keyboard, Monitor</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows® 7/8/8.1/10<br></li><li><strong>Processor:</strong> 2.5 GHz Processor or better<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> 1GB dedicated VRAM or better<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 20 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> OS X version Snow Leopard 10.6.3<br></li><li><strong>Processor:</strong> 2 GHz Processor or better<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> 512MB dedicated VRAM or better<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 5 GB available space<br></li><li><strong>Additional Notes:</strong> Mouse, Keyboard, Monitor</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Latest OS X version<br></li><li><strong>Processor:</strong> 2.5 GHz Processor or better<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> 1GB dedicated VRAM or better<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 20 GB available space</li></ul>'}","{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Ubuntu 12.04<br></li><li><strong>Processor:</strong> 2 GHz Processor or better<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> 512MB dedicated VRAM or better<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 5 GB available space<br></li><li><strong>Additional Notes:</strong> Mouse, Keyboard, Monitor</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Latest Ubuntu<br></li><li><strong>Processor:</strong> 2.5 GHz Processor or better<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> 1GB dedicated VRAM or better<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 20 GB available space</li></ul>'}","<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows® XP/Vista<br></li><li><strong>Processor:</strong> 2 GHz Processor or better<br></li><li><strong>Memory:</strong> 4 GB RAM<br></li><li><strong>Graphics:</strong> 512MB dedicated VRAM or better<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 5 GB available space<br></li><li><strong>Sound Card:</strong> DirectX® 9 compatible<br></li><li><strong>Additional Notes:</strong> Mouse, Keyboard, Monitor</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS *:</strong> Windows® 7/8/8.1/10<br></li><li><strong>Processor:</strong> 2.5 GHz Processor or better<br></li><li><strong>Memory:</strong> 8 GB RAM<br></li><li><strong>Graphics:</strong> 1GB dedicated VRAM or better<br></li><li><strong>DirectX:</strong> Version 9.0c<br></li><li><strong>Network:</strong> Broadband Internet connection<br></li><li><strong>Storage:</strong> 20 GB available space</li></ul>"
4500,"{'minimum': '<ul class=""bb_ul""><li><strong>Supported OS: </strong>Microsoft® Windows® XP(Service Pack 2)/Microsoft® Windows® 2000 SP4 <br></li><li><strong>Processor: </strong>Intel Pentium 4 2.0 Ghz / AMD XP 2200+ <br></li><li><strong>Graphics: </strong>128 MB DirectX® 8.0 compatible card / nVIDIA® GeForce™ 5700 / ATI Radeon® 9600 <br></li><li><strong>Memory: </strong>512 MB RAM <br></li><li><strong>Sound: </strong>DirectX® 9.0 compatible sound card <br></li><li><strong>Hard Drive: </strong>6 GB free hard disc space </li></ul>', 'recommended': '<ul class=""bb_ul""><li><strong>Supported OS: </strong>Microsoft® Windows® XP/Vista (SP1) <br></li><li><strong>Processor: </strong>Intel Core 2 Duo E6400 / AMD 64 X2 4200+ <br></li><li><strong>Graphics: </strong>256 MB DirectX® 9.0c compatible card* / nVIDIA® GeForce™ 8800 GT / ATI Radeon® HD 2900 XT <br></li><li><strong>Memory: </strong>2 GB RAM <br></li><li><strong>Sound: </strong>DirectX® 9.0 compatible sound card <br></li><li><strong>Hard Drive: </strong>10 GB free hard disc space </li></ul>'}",[],[],"<ul class=""bb_ul""><li><strong>Supported OS: </strong>Microsoft® Windows® XP(Service Pack 2)/Microsoft® Windows® 2000 SP4 <br></li><li><strong>Processor: </strong>Intel Pentium 4 2.0 Ghz / AMD XP 2200+ <br></li><li><strong>Graphics: </strong>128 MB DirectX® 8.0 compatible card / nVIDIA® GeForce™ 5700 / ATI Radeon® 9600 <br></li><li><strong>Memory: </strong>512 MB RAM <br></li><li><strong>Sound: </strong>DirectX® 9.0 compatible sound card <br></li><li><strong>Hard Drive: </strong>6 GB free hard disc space </li></ul>","<ul class=""bb_ul""><li><strong>Supported OS: </strong>Microsoft® Windows® XP/Vista (SP1) <br></li><li><strong>Processor: </strong>Intel Core 2 Duo E6400 / AMD 64 X2 4200+ <br></li><li><strong>Graphics: </strong>256 MB DirectX® 9.0c compatible card* / nVIDIA® GeForce™ 8800 GT / ATI Radeon® HD 2900 XT <br></li><li><strong>Memory: </strong>2 GB RAM <br></li><li><strong>Sound: </strong>DirectX® 9.0 compatible sound card <br></li><li><strong>Hard Drive: </strong>10 GB free hard disc space </li></ul>"
4570,"{'minimum': '<strong>Minimum: </strong> Windows 2000/XP, 1.8 Ghz Intel Pentium III or equivalent AMD Athlon XP, 256 MB RAM, 4.5 GB free hard drive space, 32 MB DirectX 9.0c compatible AGP video card with Hardware Transformation and Lighting, 16-bit DirectX 9.0b compatible sound card, Mouse, Keyboard<br>\t\t\t\t\t<strong>Recommended: </strong>2.4 GHz Intel Pentium 4 or equivalent, 512 MB system RAM (required for 8-player multiplayer games), nVidia GeForce 3 or ATI Radeon 8500 or equivalent with 64 MB of Video RAM <br>\t\t\t\t\t<strong>Required for Multiplayer: </strong> Internet: Cable modem, DSL modem, or 56.6 kbps modem for online multiplayer play; Network: TCP/IP compliant network'}",[],[],"<strong> </strong> Windows 2000/XP, 1.8 Ghz Intel Pentium III or equivalent AMD Athlon XP, 256 MB RAM, 4.5 GB free hard drive space, 32 MB DirectX 9.0c compatible AGP video card with Hardware Transformation and Lighting, 16-bit DirectX 9.0b compatible sound card, Mouse, Keyboard<br>					<strong>Recommended: </strong>2.4 GHz Intel Pentium 4 or equivalent, 512 MB system RAM (required for 8-player multiplayer games), nVidia GeForce 3 or ATI Radeon 8500 or equivalent with 64 MB of Video RAM <br>					<strong>Required for Multiplayer: </strong> Internet: Cable modem, DSL modem, or 56.6 kbps modem for online multiplayer play; Network: TCP/IP compliant network",
4700,"{'minimum': '<strong>Minimum System Requirements:</strong><br>\t\t\t\t\t<ul class=""bb_ul""><li>Microsoft® Windows® 2000/XP<br>\t\t\t\t\t</li><li>Celeron 1.5GHz Pentium 4® (1500MHz) or equivalent AMD® processor<br>\t\t\t\t\t</li><li>512MB RAM<br>\t\t\t\t\t</li><li>11GB of uncompressed free hard disk space<br>\t\t\t\t\t</li><li>100% DirectX® 9.0c compatible 16-bit sound cardand latest drivers<br>\t\t\t\t\t</li><li>100% Windows® 2000/XP compatible mouse,keyboard and latest drivers<br>\t\t\t\t\t</li><li>DirectX® 9.0c<br>\t\t\t\t\t</li><li>128MB Hardware Accelerated video card with Shader 1 support and the latest drivers. Must be 100% DirectX® 9.0c compatible<br>\t\t\t\t\t</li><li>1024 x 768 minimum display resolution<br>\t\t\t\t\t</li><li>Internet (TCP / IP) play supported; Internet play requires broadband connection and latest drivers; LAN play requires Network card.</li></ul><strong>Important Note:</strong> Some cards may not be compatible with the 3D acceleration features utilized by Medieval II: Total War. Please refer to your hardware manufacturer for 100% DirectX® 9.0c compatibility.'}","{'minimum': '<strong>Minimum: </strong><br><br><ul class=""bb_ul""><li><strong>OS:</strong> macOS 14 Sonoma<br></li><li><strong>Processor:</strong> Apple M1 (8‑Core CPU), Intel Core i7 or better<br></li><li><strong>Memory:</strong> 8GB<br></li><li><strong>Graphics:</strong> Apple M1 (7‑Core GPU), AMD Radeon Pro 555X or better<br></li><li><strong>Storage:</strong> 15GB<br></li><li><strong>Additional Notes:</strong> PRE macOS 14 USERS: Players using a version of macOS before 14 can access a compatible version of the game via the Beta tab in the game’s properties window. Select the \'mac_1.1.1 - macOS 13 or Intel GPUs only\' branch for a version that is compatible with 10.14 up to 13.6.4. Please also see our guide <a href=""https://steamcommunity.com/linkfilter/?u=https%3A%2F%2Fsupport.feralinteractive.com%2Fen%2Fmac-linux-games%2Fmedieval2%2Ffaqs%2Fsteam_betas%2F"" target=""_blank"" rel="" noopener""  >here</a><br></li><li></li></ul><br>——— <br><strong><i>Please note for your computer to meet the minimum requirements it must match or better all elements of the listed system requirements. For more detailed specifications check the Feral website.</i></strong>'}","{'minimum': 'OS: <br />\r\nUbuntu 14.04 <br />\r\nSteam OS 2.0 (NVIDIA &amp; Intel Only)<br />\r\nGraphics Card:<br />\r\nNvidia 600 series+ with Driver Version 352.55<br />\r\nAMD R7 with Mesa 11.2 driver*<br />\r\nIntel Iris Pro with Mesa 11.2 driver*<br />\r\n<br />\r\n*IMPORTANT: AMD GPUS may require Ubuntu 15.10 or later. Mesa 11.2 driver still in active development.', 'recommended': 'OS: <br />\r\nUbuntu 15.10<br />\r\nSteam OS 2.0 (NVIDIA &amp; Intel Only)<br />\r\nGraphics Card:<br />\r\nNvidia 700 series+ with Driver Version 352.55<br />\r\nAMD R9 with Mesa 11.2 driver*<br />\r\n<br />\r\n*IMPORTANT: AMD GPUS may require Ubuntu 15.10 or later. Mesa 11.2 driver still in active development.'}","<strong>Minimum System Requirements:</strong><br>					<ul class=""bb_ul""><li>Microsoft® Windows® 2000/XP<br>					</li><li>Celeron 1.5GHz Pentium 4® (1500MHz) or equivalent AMD® processor<br>					</li><li>512MB RAM<br>					</li><li>11GB of uncompressed free hard disk space<br>					</li><li>100% DirectX® 9.0c compatible 16-bit sound cardand latest drivers<br>					</li><li>100% Windows® 2000/XP compatible mouse,keyboard and latest drivers<br>					</li><li>DirectX® 9.0c<br>					</li><li>128MB Hardware Accelerated video card with Shader 1 support and the latest drivers. Must be 100% DirectX® 9.0c compatible<br>					</li><li>1024 x 768 minimum display resolution<br>					</li><li>Internet (TCP / IP) play supported; Internet play requires broadband connection and latest drivers; LAN play requires Network card.</li></ul><strong>Important Note:</strong> Some cards may not be compatible with the 3D acceleration features utilized by Medieval II: Total War. Please refer to your hardware manufacturer for 100% DirectX® 9.0c compatibility.",
4920,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong>7 64-Bit (SP1) or Windows 10 64-Bit<br>\t</li><li><strong>Processor:</strong>Dual-core processor 2.4 GHz (Intel Core 2 Duo, i3), 2.6 GHz (AMD Athlon or FX)<br>\t</li><li><strong>Memory:</strong>6 GB RAM<br>\t</li><li><strong>Graphics:</strong>DirectX 11 compatible dedicated video card with 2 GB VRAM<br>\t</li><li><strong>DirectX®:</strong>11.0<br>\t</li><li><strong>Hard Drive:</strong>13 GB HD space<br>        </li><li><strong>Other Requirements:</strong>Broadband Internet connection</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong>7 64-Bit (SP1) or Windows 10 64-Bit<br>\t</li><li><strong>Processor:</strong>Quad-core processor 3.2 GHz (Intel i5, i7) or 3.6 GHz (AMD Ryzen, FX or Athlon)<br>\t</li><li><strong>Memory:</strong>8 GB RAM<br>\t</li><li><strong>Graphics:</strong>DirectX 11 compatible dedicated video card with 4GB VRAM<br>\t</li><li><strong>DirectX®:</strong>11.0<br>\t</li><li><strong>Hard Drive:</strong>13 GB HD space<br>\t</li><li><strong>Other Requirements:</strong>Broadband Internet connection</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong>7 64-Bit (SP1) or Windows 10 64-Bit<br>	</li><li><strong>Processor:</strong>Dual-core processor 2.4 GHz (Intel Core 2 Duo, i3), 2.6 GHz (AMD Athlon or FX)<br>	</li><li><strong>Memory:</strong>6 GB RAM<br>	</li><li><strong>Graphics:</strong>DirectX 11 compatible dedicated video card with 2 GB VRAM<br>	</li><li><strong>DirectX®:</strong>11.0<br>	</li><li><strong>Hard Drive:</strong>13 GB HD space<br>        </li><li><strong>Other Requirements:</strong>Broadband Internet connection</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong>7 64-Bit (SP1) or Windows 10 64-Bit<br>	</li><li><strong>Processor:</strong>Quad-core processor 3.2 GHz (Intel i5, i7) or 3.6 GHz (AMD Ryzen, FX or Athlon)<br>	</li><li><strong>Memory:</strong>8 GB RAM<br>	</li><li><strong>Graphics:</strong>DirectX 11 compatible dedicated video card with 4GB VRAM<br>	</li><li><strong>DirectX®:</strong>11.0<br>	</li><li><strong>Hard Drive:</strong>13 GB HD space<br>	</li><li><strong>Other Requirements:</strong>Broadband Internet connection</li></ul>"
6000,"{'minimum': '<ul class=""bb_ul""><li><strong>OS *:</strong> Windows 2000, XP or Vista<br>\t\t\t</li><li><strong>Processor:</strong> Pentium III or Athlon 1.0 GHz or faster CPU<br>\t\t\t</li><li><strong>Memory:</strong> 256MB RAM<br>\t\t\t</li><li><strong>Graphics:</strong> 64MB 3D Graphics card with Vertex Shader and Pixel Shader (VS/PS) capability<br>\t\t\t</li><li><strong>DirectX®:</strong> 9.0b<br>\t\t\t</li><li><strong>Hard Drive:</strong> 2.0GB<br>\t\t\t</li><li><strong>Sound:</strong> 100% Directx 9.0c<br>\t\t\t</li></ul>'}",[],[],"<ul class=""bb_ul""><li><strong>OS *:</strong> Windows 2000, XP or Vista<br>			</li><li><strong>Processor:</strong> Pentium III or Athlon 1.0 GHz or faster CPU<br>			</li><li><strong>Memory:</strong> 256MB RAM<br>			</li><li><strong>Graphics:</strong> 64MB 3D Graphics card with Vertex Shader and Pixel Shader (VS/PS) capability<br>			</li><li><strong>DirectX®:</strong> 9.0b<br>			</li><li><strong>Hard Drive:</strong> 2.0GB<br>			</li><li><strong>Sound:</strong> 100% Directx 9.0c<br>			</li></ul>",
6060,"{'minimum': '<ul class=""bb_ul""><li><strong>OS *:</strong> Windows 2000, XP, Vista, 8, or 10<br>\t\t\t\t</li><li><strong>Processor:</strong> Intel Pentium 4 1.5 GHz or Athlon XP 1500+<br>\t\t\t\t</li><li><strong>Memory:</strong> 256 MB<br>\t\t\t\t</li><li><strong>Graphics:</strong> 64MB 3d Graphics card with Vertex Shader and Pixel Shader (VS/PS) Capability<br>\t\t\t\t</li><li><strong>DirectX®:</strong> 9.0c<br>\t\t\t\t</li><li><strong>Hard Drive:</strong> 4.3 GB<br>\t\t\t\t</li><li><strong>Sound:</strong> 100% DirectX 9.0c compatible Sound Card<br>\t\t\t\t</li></ul>'}",[],[],"<ul class=""bb_ul""><li><strong>OS *:</strong> Windows 2000, XP, Vista, 8, or 10<br>				</li><li><strong>Processor:</strong> Intel Pentium 4 1.5 GHz or Athlon XP 1500+<br>				</li><li><strong>Memory:</strong> 256 MB<br>				</li><li><strong>Graphics:</strong> 64MB 3d Graphics card with Vertex Shader and Pixel Shader (VS/PS) Capability<br>				</li><li><strong>DirectX®:</strong> 9.0c<br>				</li><li><strong>Hard Drive:</strong> 4.3 GB<br>				</li><li><strong>Sound:</strong> 100% DirectX 9.0c compatible Sound Card<br>				</li></ul>",
6850,"{'minimum': '<strong>Minimum: </strong>Microsoft Windows 98/ME/XP, Pentium 3 450 MHz or equivalent, 100% DirectX 8.1 compatible video card with at least 16 megabytes of video memory, 128 MB system RAM, 100% DirectX 8.1 compatible sound card, 800 MB uncompressed free hard drive space, 100% Windows 98/ME/XP compatible mouse and keyboard        <br>\t\t\t\t\t<strong>Recommended: </strong>Pentium 3 1GHz equivalent or greater, 256 MB system RAM, 100% DirectX 8.1 compatible 3D Accelerator video card with 32 MB video RAM, 100% DirectX 8.1 compatible EAX Advanced HD Sound Card'}",[],[],"<strong> </strong>Microsoft Windows 98/ME/XP, Pentium 3 450 MHz or equivalent, 100% DirectX 8.1 compatible video card with at least 16 megabytes of video memory, 128 MB system RAM, 100% DirectX 8.1 compatible sound card, 800 MB uncompressed free hard drive space, 100% Windows 98/ME/XP compatible mouse and keyboard        <br>					<strong>Recommended: </strong>Pentium 3 1GHz equivalent or greater, 256 MB system RAM, 100% DirectX 8.1 compatible 3D Accelerator video card with 32 MB video RAM, 100% DirectX 8.1 compatible EAX Advanced HD Sound Card",
6860,"{'minimum': '<strong>Minimum: </strong><br>\t\t\t\t\t<ul class=""bb_ul""><li>Microsoft Windows® 2000/XP (Windows 95/98/ME/NT Not Supported)<br>\t\t\t\t\t</li><li>Pentium 4 1.5Ghz or Athlon XP Equivalent<br>\t\t\t\t\t</li><li>512MB RAM<br>\t\t\t\t\t</li><li>100% DirectX 9.0c compatible video card which supports Hardware TnL and Pixel Shader 2.0 (GeForce FX / Radeon 9500 or higher)<br>\t\t\t\t\t</li><li>100% DirectX 9.0c Compatible Sound Card<br>\t\t\t\t\t</li><li>5.0GB free disk space<br>\t\t\t\t\t</li><li>100% Windows 2000/XP compatible Mouse and Keyboard (Gamepads and controller are not supported)</li></ul><strong>Recommended: </strong><br>\t\t\t\t\t<ul class=""bb_ul""><li>Pentium 4 2.4Ghz or Athlon XP/64-bit equivalent <br>\t\t\t\t\t</li><li>1024MB RAM<br>\t\t\t\t\t</li><li>ATI X800 series, Nvidia GeForce 6800 series or higher video card<br>\t\t\t\t\t</li><li>100% DirectX 9.0c Compatible Sound Card, Sound Blaster X-Fi series<br>\t\t\t\t\t</li><li>5.0GB free disk space </li></ul>'}",[],[],"<strong> </strong><br>					<ul class=""bb_ul""><li>Microsoft Windows® 2000/XP (Windows 95/98/ME/NT Not Supported)<br>					</li><li>Pentium 4 1.5Ghz or Athlon XP Equivalent<br>					</li><li>512MB RAM<br>					</li><li>100% DirectX 9.0c compatible video card which supports Hardware TnL and Pixel Shader 2.0 (GeForce FX / Radeon 9500 or higher)<br>					</li><li>100% DirectX 9.0c Compatible Sound Card<br>					</li><li>5.0GB free disk space<br>					</li><li>100% Windows 2000/XP compatible Mouse and Keyboard (Gamepads and controller are not supported)</li></ul><strong>Recommended: </strong><br>					<ul class=""bb_ul""><li>Pentium 4 2.4Ghz or Athlon XP/64-bit equivalent <br>					</li><li>1024MB RAM<br>					</li><li>ATI X800 series, Nvidia GeForce 6800 series or higher video card<br>					</li><li>100% DirectX 9.0c Compatible Sound Card, Sound Blaster X-Fi series<br>					</li><li>5.0GB free disk space </li></ul>",
6880,"{'minimum': '<strong>Minimum: </strong><br>\t\t\t\t\t<ul class=""bb_ul""><li>Microsoft Windows® 2000/XP. (Windows® 95/98/ME/NT not supported)<br>\t\t\t\t\t</li><li>Pentium IV 1.4GHz (or AMD AthlonXP 1700+ processor or higher).<br>\t\t\t\t\t</li><li>256MB System Memory.<br>\t\t\t\t\t</li><li>3D Hardware Accelerator Card Required - 100% DirectX® 9.0c compatible with 128 MB and Shader model 2.0. (GF FX 5700   or ATI 9500) <br>\t\t\t\t\t</li><li>100% DirectX® 9.0c compatible 16-bit sound card and latest drivers<br>\t\t\t\t\t</li><li>4.0GB of uncompressed free disk space (plus 600MB for Windows® 2000/XP swap file)<br>\t\t\t\t\t</li><li>100% Windows® 2000/XP compatible mouse, keyboard and latest drivers.</li></ul><strong>Recommended: </strong><br>\t\t\t\t\t<ul class=""bb_ul""><li>Pentium® IV 2.8GHz with Dual Core Technology (or Athlon 64 series).<br>\t\t\t\t\t</li><li>512MB System Memory.<br>\t\t\t\t\t</li><li>3D Hardware Accelerator Card Required - 100% DirectX® 9.0c compatible with 256 MB and Shader model 2.0. All nVidia® GeForce™ 7 series or higher.<br>\t\t\t\t\t</li><li>Sound Blaster® X-Fi series or higher.</li></ul><strong>Optimal: </strong><br>\t\t\t\t\t<ul class=""bb_ul""><li>Pentium® D Processor with Dual Core Technology (or Athlon 64 X2 series).<br>\t\t\t\t\t</li><li>1GB System Memory.<br>\t\t\t\t\t</li><li>All nVidia® GeForce™ 7800 series or higher.<br>\t\t\t\t\t</li><li>Sound Blaster® X-Fi series or higher.</li></ul>'}",[],[],"<strong> </strong><br>					<ul class=""bb_ul""><li>Microsoft Windows® 2000/XP. (Windows® 95/98/ME/NT not supported)<br>					</li><li>Pentium IV 1.4GHz (or AMD AthlonXP 1700+ processor or higher).<br>					</li><li>256MB System Memory.<br>					</li><li>3D Hardware Accelerator Card Required - 100% DirectX® 9.0c compatible with 128 MB and Shader model 2.0. (GF FX 5700   or ATI 9500) <br>					</li><li>100% DirectX® 9.0c compatible 16-bit sound card and latest drivers<br>					</li><li>4.0GB of uncompressed free disk space (plus 600MB for Windows® 2000/XP swap file)<br>					</li><li>100% Windows® 2000/XP compatible mouse, keyboard and latest drivers.</li></ul><strong>Recommended: </strong><br>					<ul class=""bb_ul""><li>Pentium® IV 2.8GHz with Dual Core Technology (or Athlon 64 series).<br>					</li><li>512MB System Memory.<br>					</li><li>3D Hardware Accelerator Card Required - 100% DirectX® 9.0c compatible with 256 MB and Shader model 2.0. All nVidia® GeForce™ 7 series or higher.<br>					</li><li>Sound Blaster® X-Fi series or higher.</li></ul><strong>Optimal: </strong><br>					<ul class=""bb_ul""><li>Pentium® D Processor with Dual Core Technology (or Athlon 64 X2 series).<br>					</li><li>1GB System Memory.<br>					</li><li>All nVidia® GeForce™ 7800 series or higher.<br>					</li><li>Sound Blaster® X-Fi series or higher.</li></ul>",
6900,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Microsoft Windows 95/98/ME<br></li><li><strong>Processor:</strong> Pentium II 300 MHz<br></li><li><strong>Memory:</strong> 64 MB RAM<br></li><li><strong>Graphics:</strong> 100% DirectX 7.0a-compatible 3d Accelerated Card with 12MB VRAM<br></li><li><strong>DirectX:</strong> Version 7.0a<br></li><li><strong>Storage:</strong> 400 MB available space<br></li><li><strong>Sound Card:</strong> 100% DirectX 7.0a-compatible Sound Card<br></li><li><strong>Additional Notes:</strong> 100% Windows 95/98/ME compatible mouse and keyboard</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Microsoft Windows 95/98/ME<br></li><li><strong>Processor:</strong> Pentium III equivalent or greater<br></li><li><strong>Memory:</strong> 128 MB RAM<br></li><li><strong>Graphics:</strong> 100% DirectX 7.0a-compatible 3d Accelerated Card with 32 MB VRAM<br></li><li><strong>DirectX:</strong> Version 7.0a<br></li><li><strong>Storage:</strong> 400 MB available space<br></li><li><strong>Sound Card:</strong> 100% DirectX 7.0a-compatible Sound Card<br></li><li><strong>Additional Notes:</strong> 100% Windows 95/98/ME compatible mouse and keyboard</li></ul>'}",[],[],"<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Microsoft Windows 95/98/ME<br></li><li><strong>Processor:</strong> Pentium II 300 MHz<br></li><li><strong>Memory:</strong> 64 MB RAM<br></li><li><strong>Graphics:</strong> 100% DirectX 7.0a-compatible 3d Accelerated Card with 12MB VRAM<br></li><li><strong>DirectX:</strong> Version 7.0a<br></li><li><strong>Storage:</strong> 400 MB available space<br></li><li><strong>Sound Card:</strong> 100% DirectX 7.0a-compatible Sound Card<br></li><li><strong>Additional Notes:</strong> 100% Windows 95/98/ME compatible mouse and keyboard</li></ul>","<strong></strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Microsoft Windows 95/98/ME<br></li><li><strong>Processor:</strong> Pentium III equivalent or greater<br></li><li><strong>Memory:</strong> 128 MB RAM<br></li><li><strong>Graphics:</strong> 100% DirectX 7.0a-compatible 3d Accelerated Card with 32 MB VRAM<br></li><li><strong>DirectX:</strong> Version 7.0a<br></li><li><strong>Storage:</strong> 400 MB available space<br></li><li><strong>Sound Card:</strong> 100% DirectX 7.0a-compatible Sound Card<br></li><li><strong>Additional Notes:</strong> 100% Windows 95/98/ME compatible mouse and keyboard</li></ul>"
6910,"{'minimum': '<strong>Minimum: </strong>300 MHz Pentium II or equlivalent, Windows 95/98, 64 MB RAM, DirectX 7.0a compliant 3D accelerated video card 16MB VRAM, Direct X 7.0a compliant sound card, Direct X 7.0a or higher (included), 150MB uncompressed hard drive space, Keyboard and Mouse'}",[],[],"<strong> </strong>300 MHz Pentium II or equlivalent, Windows 95/98, 64 MB RAM, DirectX 7.0a compliant 3D accelerated video card 16MB VRAM, Direct X 7.0a compliant sound card, Direct X 7.0a or higher (included), 150MB uncompressed hard drive space, Keyboard and Mouse",
7760,"{'minimum': '<ul class=""bb_ul""><li><strong>Supported OS: </strong>Microsoft® 2000/XP/Vista®                        <br>\t\t\t\t\t</li><li><strong>Processor: </strong>80386 processor or better                        <br>\t\t\t\t\t</li><li><strong>Memory: </strong>4Mb RAM                        <br>\t\t\t\t\t</li><li><strong>Sound Cards Supported: </strong>AdLib compatible cards, SoundBlaster compatible cards and the Roland LAPC-1.                        </li></ul>'}",[],[],"<ul class=""bb_ul""><li><strong>Supported OS: </strong>Microsoft® 2000/XP/Vista®                        <br>					</li><li><strong>Processor: </strong>80386 processor or better                        <br>					</li><li><strong>Memory: </strong>4Mb RAM                        <br>					</li><li><strong>Sound Cards Supported: </strong>AdLib compatible cards, SoundBlaster compatible cards and the Roland LAPC-1.                        </li></ul>",
